Gene;Tier;;;
STAT5B;3;;;
STAT6;3;;;
STIL;3;;;
STRN;3;;;
SUB1;3;;;
TAF15;3;;;
TAL1;3;;;
TAL2;3;;;
TBL1XR1;3;;;
TCEA1;3;;;
TCF12;3;;;
TCF3;3;;;
TCL1A;3;;;
TEC;3;;;
TENT5C;3;;;
TET1;3;;;
TFE3;3;;;
TFEB;3;;;
TFG;3;;;
TFPT;3;;;
TFRC;3;;;
THRAP3;3;;;
TLX1;3;;;
TLX3;3;;;
TMPRSS2;3;;;
TMSB4X;3;;;
TNC;3;;;
TNFRSF17;3;;;
TPM3;3;;;
TPM4;3;;;
TPR;3;;;
TRA;3;;;
TRAF7;3;;;
TRB;3;;;
TRD;3;;;
TRIM24;3;;;
TRIM27;3;;;
TRIM33;3;;;
TRIP11;3;;;
TRRAP;3;;;
UBR5;3;;;
USP44;3;;;
USP6;3;;;
USP8;3;;;
USP9X;3;;;
VAV1;3;;;
VTI1A;3;;;
WAS;3;;;
WDCP;3;;;
WIF1;3;;;
WNK2;3;;;
WRN;3;;;
WWTR1;3;;;
XPA;3;;;
XPC;3;;;
YWHAE;3;;;
ZBTB16;3;;;
ZCCHC8;3;;;
ZEB1;3;;;
ZMYM2;3;;;
ZMYM3;3;;;
ZNF331;3;;;
ZNF384;3;;;
ZNF429;3;;;
ZNF479;3;;;
ZNF521;3;;;
ZNRF3;3;;;
